gcc -Wall -Wextra -lpthread -o bin/fwarshall src/fwarshall.c
gcc -Wall -Wextra -o bin/gen src/datagen.c
Generating matrix of size 50...
<thread count>\t<runtime>
48	5043.009
49	5291.826
50	5245.767
Generating matrix of size 1000...
<thread count>\t<runtime>
1	19811.608
2	10162.954
3	7246.311
4	5717.983
5	7633.515
6	6440.534
7	5582.484
8	4951.616
9	6759.365
10	6069.514
11	5717.905
12	5466.569
13	6009.925
14	5660.499
15	5416.079
16	5195.136
17	5892.991
18	5584.483
19	5346.507
20	5210.303
21	5600.914
22	5380.165
23	5201.904
24	5123.651
25	5581.989
26	5379.845
27	5235.364
28	5123.825
29	5423.586
30	5271.996
31	5154.847
32	5054.352
33	5439.117
34	5300.039
35	5157.268
36	5108.150
37	5319.949
38	5216.486
39	5114.481
40	5030.520
41	5327.803
42	5220.716
43	5204.663
44	5239.720
45	5274.455
46	5211.419
47	5125.027
48	5162.624
49	5319.098
50	5215.849
Generating matrix of size 1000...
<thread count>\t<runtime>
1	19708.890
2	10143.496
3	7008.598
4	5512.415
5	7644.364
6	6435.728
7	5595.209
8	4945.985
9	6715.025
10	6064.245
11	5681.707
12	5475.513
13	6002.120
14	5658.351
15	5379.126
16	5170.430
17	5872.033
18	5593.423
19	5322.115
20	5251.288
21	5589.879
22	5380.176
23	5220.058
24	5153.539
25	5586.125
26	5398.350
27	5265.455
28	5117.023
29	5407.010
30	5273.563
31	5131.931
32	5070.333
33	5437.046
34	5295.383
35	5156.696
36	5081.491
37	5311.789
38	5218.611
39	5111.517
40	5052.524
41	5313.934
42	5254.548
43	5201.610
44	5208.231
45	5321.888
46	5212.053
47	5185.929
48	5114.817
49	5308.457
50	5251.443
