gcc -Wall -Wextra -fopenmp -o bin/gaussj src/gaussj.c -lm
gcc -Wall -Wextra -o bin/gen src/datagen.c
Generating matrix of size 50...
<thread count>\t<runtime>
0.868
0.324
0.617
0.402
0.419
0.319
0.670
0.435
2.118
3.860
4.565
4.833
5.299
7.528
8.242
7.501
6.878
8.164
8.990
10.396
8.888
11.508
11.044
10.692
13.413
11.808
12.606
15.597
14.714
16.511
16.048
16.982
17.473
17.315
15.121
17.903
19.591
18.516
19.050
20.451
19.908
20.354
20.204
14.696
18.115
19.191
16.071
24.034
17.780
21.181
Generating matrix of size 50...
<thread count>\t<runtime>
0.381
0.687
0.581
0.261
0.401
0.327
0.329
0.326
3.410
5.136
5.095
4.744
6.562
5.751
5.753
3.305
9.008
8.594
10.955
10.774
10.620
10.729
10.620
11.821
12.404
14.465
8.410
7.269
13.135
15.789
16.598
18.122
16.173
16.453
16.210
18.903
17.723
15.028
9.882
15.559
20.179
15.326
16.689
18.711
15.560
21.947
20.890
21.227
17.941
23.225
Generating matrix of size 50...
<thread count>\t<runtime>
0.874
0.866
0.270
0.298
0.688
0.691
0.324
0.342
2.069
3.444
4.037
7.347
5.508
3.809
7.608
7.170
8.812
9.623
8.917
10.797
10.969
12.898
11.878
11.537
12.509
12.807
14.398
14.407
14.159
15.544
14.242
18.026
17.650
13.827
16.714
17.027
18.286
18.185
15.327
18.023
16.357
19.448
19.557
22.447
22.595
18.989
22.507
25.639
19.272
17.040
Generating matrix of size 50...
<thread count>\t<runtime>
0.892
0.687
0.633
0.608
0.691
0.408
0.423
0.627
1.869
1.924
5.275
6.296
5.540
6.743
8.537
6.580
9.379
9.216
10.034
9.889
10.686
10.217
11.234
12.193
10.571
13.247
7.101
13.359
15.413
15.462
15.955
14.360
15.219
16.064
18.322
16.410
16.546
14.908
20.359
15.876
16.926
21.939
16.322
19.418
19.731
20.324
21.769
20.999
19.436
21.298
Generating matrix of size 50...
<thread count>\t<runtime>
0.398
0.674
0.275
0.265
0.403
0.310
0.442
0.370
2.589
2.004
5.174
3.514
7.979
6.264
6.371
7.646
8.145
8.434
6.982
11.192
9.943
11.265
10.774
13.877
12.500
6.078
14.543
14.562
13.841
15.930
13.856
13.190
16.877
17.448
19.400
16.499
20.045
18.560
17.618
16.915
19.210
17.923
21.015
20.180
12.156
20.584
18.482
22.126
22.638
21.799
Generating matrix of size 1000...
<thread count>\t<runtime>
2299.768
1196.831
816.475
692.064
944.976
800.488
683.231
673.224
955.607
886.316
920.217
938.020
949.464
977.052
931.984
941.069
965.927
929.222
941.440
952.227
945.268
966.159
961.345
942.345
975.708
988.253
961.959
978.578
995.679
973.647
985.667
1002.822
1001.071
1047.213
1029.730
1026.364
1041.757
1008.697
1028.012
1038.404
1037.932
1069.868
1073.657
1074.139
1049.267
1069.526
1072.262
1077.205
1077.430
1084.513
Generating matrix of size 1000...
<thread count>\t<runtime>
2308.625
1185.775
826.435
631.893
957.119
792.647
693.980
727.049
985.373
907.749
917.975
900.534
955.227
913.686
963.378
966.340
952.952
963.205
939.874
951.601
958.607
969.614
963.183
997.729
989.310
1007.437
962.322
1002.915
970.845
995.233
979.780
979.600
1014.655
1049.389
1016.856
984.031
1036.956
1038.917
1008.898
1065.795
1037.136
1049.094
1057.358
1088.635
1072.812
1058.281
1070.267
1077.237
1080.344
1067.975
Generating matrix of size 1000...
<thread count>\t<runtime>
2315.238
1201.506
827.086
634.214
955.799
801.805
691.964
635.751
949.468
878.938
947.314
917.017
952.030
897.037
952.882
950.135
968.399
937.307
934.283
939.650
990.923
932.230
946.117
943.196
967.534
981.317
973.392
1001.071
990.008
973.768
985.672
1001.505
1015.737
1000.559
1037.110
1028.725
1046.453
1025.532
1029.444
1034.857
1035.174
1053.886
1066.667
1063.093
1065.876
1053.718
1072.243
1094.978
1084.905
1098.690
Generating matrix of size 1000...
<thread count>\t<runtime>
2304.630
1194.590
823.252
631.619
951.092
792.356
689.020
604.552
1024.671
872.966
921.589
932.912
923.994
943.686
911.780
929.442
953.073
938.579
938.460
933.057
955.066
957.421
936.847
963.447
969.948
968.682
982.575
981.496
997.269
994.379
988.728
992.438
1026.700
1041.490
1046.449
1040.405
1014.876
1051.895
1054.382
1036.042
1024.758
1077.956
1076.834
1051.948
1044.341
1070.990
1089.315
1076.908
1066.551
1096.337
Generating matrix of size 1000...
<thread count>\t<runtime>
2307.365
1196.191
826.169
631.663
959.747
804.296
683.895
606.718
987.651
868.298
920.581
908.293
934.429
927.025
966.354
929.566
945.422
966.767
944.304
945.737
967.512
939.783
942.087
963.024
968.886
986.001
988.736
989.144
970.694
1001.712
989.708
1022.833
1040.970
996.326
1040.764
1026.516
1032.635
1044.744
1036.547
1053.124
1061.406
1059.680
1041.260
1075.442
1067.981
1058.277
1104.166
1092.222
1067.577
1090.156
